molregno	canonical_smiles	Papp_in_cm_sec
1623950	COC(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)Nc1ccc([C@@H]2CC[C@@H](c3ccc(NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)OC)C(C)C)cc3)N2c2ccc(C(C)(C)C)cc2)cc1)C(C)C	8e-8
1527794	COc1cc2c(cc1OC)CN(Cc1coc(-c3ccc4cc(F)ccc4c3)n1)CC2	8.199999999999999e-8
30180	OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO	8.25e-8
1817518	C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C	8.4e-8
10685	CN/C(=C\[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1	8.400000000000001e-8
1727806	CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)N(C)C(=O)[C@H]2CCCN2C(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCN)N(C)C(=O)[C@@H](CC(C)C)N(C)C1=O	9e-8
1831743	COCCCOc1cc(C(=O)N(C[C@@H]2CNC[C@H]2NS(=O)(=O)Cc2ccccc2)C(C)C)ccc1OC	9e-8
1843005	CC(C)C[C@@H]1NC(=O)[C@@H](Cc2ccccc2)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]2CCCN2C1=O	9e-8
2080250	Cn1c(N2CCC(F)(F)CC2)cc(OCc2cc(F)c(Oc3ccc(Cl)c(C(F)(F)F)c3)c(F)c2)nc1=O	9e-8
2143099	Cc1cc(CN(CC(C)C)C(CC(=O)O)c2ccc3c(c2)CCO3)ccc1OCCN1C(=O)CCC1=O	9e-8
2242686	COc1ccc(CN(CC(=O)N2CCC3(CC2)CNC3)c2ccc(C#N)cc2)cc1F	9e-8
338883	CC(C)C[C@@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)CNC(=O)[C@H](C)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)/C=C\c2ccccc2OCOC1=O	9.4e-8
